题干,A,B,C,D,E,F,答案,uncertain,incorrect,question_index
45 / 4的值为?,10,11,11.25,12,,,B,,0,0
假定x是1，经过表达式 (x>=1)&&(x++>1) 运算后，表达式和x的值分别是多少？,"true, 1","true, 2","false, 1","false, 2",,,D,,0,0
编写当体重weight大于50或身高height大于160，但不能同时满足这两个条件时，结果为true的布尔表达式。,weight>50 && height>160,weight>50 || height>160,weight>50 ^ height>160,weight>50 | height>160,,,C,,0,0
下列不属于条件控制语句的是（  ）,for语句,if语句,if..else语句,switch语句,,,A,,0,0
"按运算符操作数的数目划分,运算符 ? : 的类型是（   ）",三元,二元,四元,一元,,,A,,0,0
"6.下面代码的运行输出结果是
public class example{
  Public static void main(String args[]){
    int x=0;
    if(x>0) x=1;
    switch(x){
     case 1: System.out.print(1); 
     case 0: System.out.print(0);
     case 2: System.out.print(2); 
             break;
     case 3: System.out.print(3); 
     default: System.out.print(4); 
             break;
    }
  }
}",02,102,0234,10234,,,A,,0,0
"执行如下程序代码后，c的值是(  )
　　a=0;c=0;
　　do{
　　--c;
　　a=a-1;
　　}while(a>0);",0,1,-1,死循环,,,C,,0,0
"9.给出以下代码，请问该程序的运行结果是什么？
class Example{ 
public static void main(String args[]){ 
 boolean flag=false; 
 if(flag=true){ 
   System.out.println(""true""); 
 } 
 else{ 
   System.out.println(""false""); 
 } 
}
}",代码编译失败，if语句错误。,代码编译成功，但在运行期时if语句处抛出异常。,输出true。,输出false。,,,C,C,0,0
"给出以下代码，请问该程序的运行结果是什么？
class Example{
public static void main(String args[]){
  int m=0;
  while(m++<2)
    System.out.print(m);
}
}",01,12,23,抛出异常。,,,B,,0,0
"给出以下代码，请问表达式grade==70在以下两条语句中是否执行？
1.      boolean passingScore =false && grade==70; 
2.      boolean passingScore = false & grade==70; 
请选择一个正确答案：",语句1﹑2中均获得执行。,语句1﹑2中均未获得执行。,语句1中均获得执行，语句2中未获得执行。,语句2中均获得执行，语句1中未获得执行。,,,D,,0,0
"给出以下代码，请问该程序的运行结果是什么？
class Example {
public static void main (String args []){
         int Output = 10;
         Boolean b1 = false;
         if (b1 = true)&&((Output = 10)==20)){
             System .out .println(“We are equal!”+Output);
         }else{
             System .out .println(“Not equal!”+Output);
         }
}
}",代码编译失败。,输出We are equal!10,输出Not equal!20,输出Not equal!10,,,D,,0,0
"给出以下代码，请问该程序的运行结果是什么？
class Example{
public static void main(String args[]){
  int x=6;
  double d=7.7;
  System.out.println((x>d)?99.9:9);
}
}",输出9,输出9.0,输出99.9,编译错误。,,,B,,1,0
"下列代码中? 
if(x>O){System.out.println(""first"");} 
else if(x>-3){System.out.println(""second"");}
else{System.out.println(""third""); } 
要求打印字符串为“second”时，x的取值范围是(   )。",x<=0且x>-3,x>0,x>-3,x<=-3,,,A,,0,0
在switch(expression)语句中，expression的数据类型不能是(  )。,double,char,byte,short,,,A,,0,0
boolean x=false; for(int y=0; !x&&y<=5; y++)语句执行循环的次数是(      )。,0,5,6,无穷,,,C,,0,0
"在调用方法时,若要使方法改变实参的值,可以",用基本数据类型作为参数,用对象作为参数,A和B都对,A和B都不对,,,B,,0,0
"下述哪一组方法,是一个类中方法重载的正确写法? (    )","int addValue( int a, int b ){return a+b;}
float addValue ( int b, int a) {return a+b;}","int addValue (int a, int b ){value=a+b; }
float addValue ( int a, int b) {return (float)(a+b);}","int addValue( int a, int b ){return a+1;}
int addValue (  int b) {return ++b;}","int addValue( int a, int b ) {return a+b;}
int addValue ( int x, int y ) {return x+y;}",,,C,,0,0
下述哪个说法是不正确的?(     ),"局部变量在使用之前无需初始化,因为有该变量类型的默认值","类成员变量由系统自动进行初始化,也无需初始化",参数的作用域就是所在的方法,"for语句中定义的变量,当for语句执行完时,该变量就消亡了",,,A,,0,0
"下面代码中，空白处应填 ______________.

public class Test {
  public static void main(String[] args) {
    System.out.print(""The grade is "");
    printGrade(78.5);

    System.out.print(""The grade is "");
    printGrade(59.5);
  }

  public static __________ printGrade(double score) {
    if (score >= 90.0) {
      System.out.println('A');
    }
    else if (score >= 80.0) {
      System.out.println('B');
    }
    else if (score >= 70.0) {
      System.out.println('C');
    }
    else if (score >= 60.0) {
      System.out.println('D');
    }
    else {
      System.out.println('F');
    }
  }
}",int,String,void,char,,,C,C,0,0
下列方法头中哪一个不与其他方法形成重载(overload)关系?,void mmm(),void mmm(int i),void mmm(String s),int mm(),,,D,,0,0
若在某一个类定义中定义有如下的方法:abstract void performDial( );该方法属于,接口方法,最终方法,抽象方法,空方法,,,C,,0,0
面哪个函数是public void aMethod(){...}的重载函数?,"void aMethod( ){...}
","public int aMethod(){...}
","public void aMethod ( ){...}
","public void aMethod ( int m){...}
",,,D,,0,0
"假设A类有如下定义,设a是A类的一个实例,下列语句调用哪个是错误的?
class A

{ int i;

static String s;
void method1() { }
static void method2() { }
}",System.out.println(a.i);,a.method1();,A.method1();,A.method2();,,,C,,0,0
"You should add the static keyword in the place of ? in Line ________ in the following code:

1 public class Test { 
2   private int age;
3 
4   public ? int square(int n) { 
5     return n * n;
6   }
7
8   public ? int getAge() {return age;
9  }
10}",in line 4,in line 8,in both line 4 and line 8,none,,,A,,1,0
Which of the following should be defined as a void method?,Write a method that prints integers from 1 to 100,Write a method that returns a random integer from 1 to 100,Write a method that checks whether current second is an integer from 1 to 100,Write a method that converts an uppercase letter to lowercase,,,A,,0,0
Which of the following are legal declaration and definition of a method,void method() {};,void method(void) {};,method() {};,method(void) {};,,,A,,0,0
Which method names follow the JavaBeans standard?,addSize,getCust,deleteRep,putDimensions,,,B,A,1,0
"When you invoke a method with a parameter, the value of the argument is passed to the parameter. This is referred to as _______",method invocation,pass by value,pass by reference,pass by name,,,B,,0,0
"When invoking a method with an object argument, ___________ is passed",the contents of the object,a copy of the object,the reference of the object,"the object is copied, then the reference of the copied object",,,C,,0,0
"What will happen if you try to compile and run the following code 

public class MyClass {    
public static void main(String arguments[]) { 
amethod(arguments);    }   
 public void amethod(String[] arguments) {
 System.out.println(arguments); 
System.out.println(arguments[1]);    
}}",error Can't make static reference to void amethod,error method main not correct,error array must include parameter,amethod must be declared with String,,,A,,0,0
"What is the value of times displayed?
public class Test {
  public static void main(String[] args) {
    Count myCount = new Count();
    int times = 0;

    for (int i=0; i<100; i++)
      increment(myCount, times);
    System.out.println(""times = ""+ times);
  }

  public static void increment(Count c, int times) {
    c.count++;
    times++;
  }
}
class Count {
  int count;
  Count(int c) {
    count = c;
  }
  Count() {
    count = 1;
  }
}",101,100,1,0,,,D,,1,0
"What is the printout of the second println statement in the main method?
public class Foo {
  int i;
  static int s;

  public static void main(String[] args) {
    Foo f1 = new Foo();
    System.out.println(""f1.i is "" + f1.i + "" f1.s is "" + f1.s);
    Foo f2 = new Foo();
    System.out.println(""f2.i is "" + f2.i + "" f2.s is "" + f2.s);
  }

  public Foo() {
    i++;
    s++;
  }
}",f2.i is 1 f2.s is 1,f2.i is 1 f2.s is 2,f2.i is 2 f2.s is 2,f2.i is 2 f2.s is 1,,,B,,0,0
"What is the printout of the second println statement in the main method?
public class Foo {
  int i;
  static int s;

  public static void main(String[] args) {
    Foo f1 = new Foo();
    System.out.println(""f1.i is "" + f1.i + "" f1.s is "" + f1.s);
    Foo f2 = new Foo();
    System.out.println(""f2.i is "" + f2.i + "" f2.s is "" + f2.s);
  }

  public Foo() {
    i++;
    s++;
  }
}",f2.i is 1 f2.s is 1,f2.i is 1 f2.s is 2,f2.i is 2 f2.s is 2,f2.i is 2 f2.s is 1,,,B,,0,0
The signature of a method consists of ________,method name,method name and parameter list,"return type, method name, and parameter list",parameter list,,,B,,1,0
"Suppose your method does not return any value, which of the following keywords can be used as a return type?",void,int,double,None of the above,,,A,,0,0
"Suppose you wish to provide an accessor method for a boolean property finished, what signature of the method should be?",public void getFinished(),public boolean getFinished(),public boolean isFinished(),public void isFinished(),,,C,,0,0
"Suppose the xMethod() is invoked from a main method in a class as follows, xMethod() is _________ in the class.

public static void main(String[] args) {
  xMethod();
}",a static method,an instance method,a static method or an instance method,an Object method,,,A,,0,0
"Given:
class Fizz {
int x = 5;
public static void main(String[] args) {
final Fizz f1 = new Fizz();
Fizz f2 = new Fizz();
Fizz f3 = FizzSwitch(f1,f2);
System.out.println((f1 == f3) + "" "" + (f1.x == f3.x));
}
static Fizz FizzSwitch(Fizz x, Fizz y) {
final Fizz z = x;
z.x = 6;
return z;
} }
What is the result?",true true,false true,true false,false false,,,A,,1,0
"Given:
3. public class Dark {
4. int x = 3;
5. public static void main(String[] args) {
6. new Dark().go1();
7. }
8. void go1() {
9. int x;
10. go2(++x);
11. }
12. void go2(int y) {
13. int x = ++y;
14. System.out.println(x);
15. }
16. }
What is the result?",3,4,5,Compilation fails,,,D,,0,0
"Given:
1. public class Yippee {
2. public static void main(String [] args) {
3. for(int x = 1; x < args.length; x++) {
4. System.out.print(args[x] + "" "");
5. }
6. }
7. } and two separate command line invocations: java Yippee java Yippee 1 2 3 4 What is the result?",No output is produced. 1 2 3,No output is produced. 2 3 4,No output is produced. 1 2 3 4,An exception is thrown at runtime. 1 2 3,,,B,,0,0
"Given:
1. public class Pass {
2. public static void main(String [] args) {
3. int x = 5;
4. Pass p = new Pass();
5. p.doStuff(x);
6. System.out.print("" main x = "" + x);
7. }
8.
9. void doStuff(int x) {
10. System.out.print("" doStuff x = "" + x++);
11. }
12. }
What is the result?",doStuff x = 6 main x = 6,doStuff x = 5 main x = 5,doStuff x = 5 main x = 6,doStuff x = 6 main x = 5,,,B,,0,0
"Given:
1. public class Frodo extends Hobbit {
2. public static void main(String[] args) {
3. Short myGold = 7;
4. System.out.println(countGold(myGold, 6));
5. }
6. }
7. class Hobbit {
8. int countGold(int x, int y) { return x + y; }
9. }
What is the result?",13,Compilation fails due to multiple errors,Compilation fails due to an error on line 1,Compilation fails due to an error on line 4,,,D,A,1,0
"Given:
1. public class Batman {
2. int squares = 81;
3. public static void main(String[] args) {
4. new Batman().go();
5. }
6. void go() {
7. incr(++squares);
8. System.out.println(squares);
9. }
10. void incr(int squares) { squares += 10; }
11. }
What is the result?",81,82,91,92,,,B,,0,0
"Given:
1. class Voop {
2. public static void main(String[] args) {
3. doStuff(1);
4. doStuff(1,2);
5. }
6. // insert code here
7. }
Which, inserted independently at line 6, will compile?",static void doStuff(int... doArgs) { },static void doStuff(int[] doArgs) { },static void doStuff(int doArgs...) { },"static void doStuff(int... doArgs, int y) { }",,,A,,0,0
"Given:
1. class Voop {
2. public static void main(String[] args) {
3. doStuff(1);
4. doStuff(1,2);
5. }
6. // insert code here
7. }
Self Test Answers 79
80 Chapter 1: Declarations and Access Control
Which, inserted independently at line 6, will compile?",static void doStuff(int... doArgs) { },static void doStuff(int[] doArgs) { },static void doStuff(int doArgs...) { },"static void doStuff(int... doArgs, int y) { }",,,A,,0,0
"Given the following code what will be output? 

public class Pass{    
static int j=20;    
public static void main(String argv[]){
 int i=10; 
Pass p = new Pass(); 
p.amethod(i); 
System.out.println(i); 
System.out.println(j);   
 }   
 public void amethod(int x){ 
x=x*2; j=j*2;    
}}",Error: amethod parameter does not match variable,20 and 40,10 and 40,10 and 20,,,C,,0,0
"Analyze the following code:
class Test { 

public static void main(String[] args) {
   System.out.println(xMethod((double)5));
 }

public static int xMethod(int n) {
   System.out.println(""int"");
return n;
 }

public static long xMethod(long n) {
   System.out.println(""long"");
   return n;
 }
}",The program displays int followed by 5,The program displays long followed by 5,The program runs fine but displays things other than given in a and b,The program does not compile,,,D,B,1,0
"Analyze the following code:

public class Test {
  public static void main(String[] args) {
    System.out.println(xMethod(5, 500L));
  }
  public static int xMethod(int n, long l) {
    System.out.println(""int, long"");
    return n;
  }
  public static long xMethod(long n, long l) {
    System.out.println(""long, long"");
    return n;
  }
}","The program displays int, long followed by 5","The program displays long, long followed by 5",The program runs fine but displays things other than 5,The program does not compile because the compiler cannot distinguish which xmethod to invoke,,,A,,0,0
"Analyze the following code.

public class Test {
  public static void main(String[] args) {
    System.out.println(max(1, 2));
  }

  public static double max(int num1, double num2) {
    System.out.println(""max(int, double) is invoked"");

    if (num1 > num2)
      return num1;
    else
      return num2;
  }
  
  public static double max(double num1, int num2) {
    System.out.println(""max(double, int) is invoked"");

    if (num1 > num2)
      return num1;
    else
      return num2;
  }
}",The program cannot compile because you cannot have the print statement in a non-void method,The program cannot compile because the compiler cannot determine which max method should be invoked,"The program runs and prints 2 followed by ""max(int, double)"" is invoked","The program runs and prints 2 followed by ""max(double, int)"" is invoked",,,B,,0,0
"Analyze the following code.

public class Test {
  public static void main(String[] args) {
    int n = 2;
    xMethod(n);
           
    System.out.println(""n is "" + n);
  }

  void xMethod(int n) {
    n++;
  }
}",The code has a compile error because xMethod does not return a value,The code has a compile error because xMethod is not declared static,The code prints n is 2,The code prints n is 3,,,B,,0,0
All Java applications must have a method ______,public static Main(String[] args),public static Main(String args[]),public static void main(String[] args),None of the above,,,C,,0,0
A variable defined inside a method is referred to as _____,a global variable,a method variable,a block variable,a local variable,,,D,,0,0
"有以下方法的定义,请选择该方法的返回类型
ReturnType method(byte x, double y) {

return (short)x/y*2;

}",byte,short,int,double,,,D,,0,0
Which of the following statements are correct?,"char[][] charArray = {'a', 'b'};","char[2][2] charArray = {{'a', 'b'}, {'c', 'd'}};","char[2][] charArray = {{'a', 'b'}, {'c', 'd'}};","char[][] charArray = {{'a', 'b'}, {'c', 'd'}};",,,D,,0,0
"Suppose a method p has the following heading:
public static int[] p()
What return statement may be used in p()?
",return 1;,"return {1, 2, 3};","return int[]{1, 2, 3};","return new int[]{1, 2, 3};",,,D,,0,0
"If you declare an array double[] list = {3.4, 2.0, 3.5, 5.5}, the highest index in array list is ________",0,3,4,5,,,B,,0,0
"for-each loop) Analyze the following code:

public class Test {
  public static void main(String[] args) {
    double[] x = {2.5, 3, 4};
    for (double value: x)
      System.out.print(value + "" "");
  }
}","The program displays 2.5, 3, 4",The program displays 2.5 3 4,The program displays 2.5 3.0 4.0,"The program displays 2.5, 3.0 4.0
",,,C,,0,0
"Analyze the following code:

public class Test { 
  public static void main(String[] args) {
    int[] x = {1, 2, 3, 4};
    int[] y = x;
    x = new int[2];
    for (int i = 0; i < y.length; i++)
      System.out.print(y[i] + "" "");
  }
}",The program displays 1 2 3 4,The program displays 0 0,The program displays 0 0 3 4,The program displays 0 0 0 0,,,A,B,1,0
"执行完以下代码int [ ] x = new int[25];后,以下哪项说明是正确的( )",x[24]为0,x[24]未定义,x[25]为0,x[0]为空,,,A,A,0,0
"有关类Demo,哪句描述是正确的? (          )
     public class Demo extends Base{ 
     private int count; 
     public Demo(){ 
       System.out.println(""A Demo object has been created""); 
     } 
     protected void addOne() {count++; } 
     }","当创建一个Demo类的实例对象时,count的值为0","当创建一个Demo类的实例对象时,count的值是不确定的.
","超类对象中可以包含改变count 值的方法.
",Demo的子类对象可以访问count.,,,A,,0,0
以下说法错误的是【   】,Applet小应用程序不可以独立运行,一个JAVA源程序可以没有public修饰的类,在一个JAVA源程序中可以定义多个类,一个java源程序可以有多个public修饰的类,,,D,,0,0
以下说法不正确的是【    】,private修饰的成员变量可以在本类或其本包中子类中使用,"java类可以同时实现多个接口,但只能继承一个父类",static修饰的成员变量可以不经过实例化直接通过类名引用,static不可以和abstract修饰符同时使用,,,A,A,0,0
以下哪个类能正确编译?【    】,"class a{
   abstract void disp();
 }
","abstract class a{
   void disp(){
   System.out.println(""welcome to Beijing!""); 
} }
","class a{
  abstract  void disp(){
   System.out.println(""welcome to Beijing!""); 
} }
","abstract class a{
  final abstract void disp();
}
",,,B,,0,0
已知在一个类中能正确使用命令:import hr.tech.Wage.以下说法不正确的是【    】,Wage是类名,在Wage类中声明包的命令是package hr.tech,hr.tech.Wage是包名,"不使用import hr.tech.Wage语句,也可使用new hr.tech.Wage()的方式产生对象",,,C,,0,0
"要想定义一个不能被实例化的抽象类,在类定义中必须加上修饰符(  ).
",final,public,private,abstract,,,D,,0,0
"下述说法中,错误的是","Java中,方法的重载是指多个方法可以共享同一个名字","Java中,用abstract修饰的类称为抽象类,它不能实例化","Java中,接口不包含方法实现","Java中,构造方法可以有返回值",,,D,,0,0
下面哪个函数不是public void example(){...}的重载函数【    】,public void example( int m){...},public int example(){...},public void example(float f){...},"public int example ( int m, float f){...}",,,B,,0,0
下列哪一种叙述是正确的( ),abstract修饰符可修饰字段、方法和类,抽象方法的body部分必须用一对大括号{ }包住,"声明抽象方法,大括号可有可无",声明抽象方法不可写出大括号,,,D,,0,0
"下列关于修饰符混用的说法,错误的是( )",abstract不能与final并列修饰同一个类,abstract类中不可以有private的成员,abstract方法必须在abstract类中,static方法中能处理非static的属性,,,D,D,0,0
"为AB类的一个无形式参数无返回值的方法method书写方法头,使得使用类名AB作为前缀就可以调用它,该方法头的形式为(      ).",static  void  method( ),public  void  method( ),final  void  method( ),abstract  void  method( ),,,A,,0,0
"如果类中的成员变量只能被同一包访问,则使用如下哪个约束符【    】",private,public,protected,缺省约束符,,,D,,0,0
"类Test1定义如下:
1.public class Test1{
2. public float aMethod(float a,float b){ }
3. 
4.} 
将以下哪种方法插入行3是不合法的.( )","public float aMethod(float a, float b,float c){ }","public float aMethod(float c,float d){ }","public int aMethod(int a, int b){ }","private float aMethod(int a,int b,int c){ }",,,B,,0,0
"关于以下说法,描述错误的是【    】","在JAVA应用程序中main方法里,不能直接使用非静态变量",有abstract修饰的类能够直接实例化,"一个非抽象类实现一个接口,在该类中必须重写该接口中所有的方法",this和super这两个特殊变量只能用在非静态方法中,,,B,,0,0
